Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C9",0402,3,1u,C52923
"C10, C12, C3, C4, C6, C7, C8",0402,7,100n,C1525
"C11, C5",0402,2,4.7u,C23733
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D4, D40, D41, D42, D43, D44, D45, D46, D47, D48, D49, D5, D50, D51, D52, D53, D54, D55, D56, D57, D58, D59, D6, D60, D61, D62, D7, D8, D9",D_SOD-123,62,1N4148W,C81598
F1,1206,1,ASMD1206-050,C135338
J1,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,1,JST-SH,C160404
R1,0402,1,10k,C25744
SMDSW1,SW_Push_1P1T_XKB_TS-1187A,1,TS-1187A-B-A-B,C318884
"SW1, SW10, SW12, SW13, SW14, SW16, SW17, SW18, SW19, SW20, SW21, SW22, SW23, SW24, SW25, SW26, SW27, SW28, SW29, SW30, SW31, SW32, SW33, SW34, SW35, SW37, SW38, SW39, SW40, SW41, SW42, SW43, SW44, SW45, SW46, SW47, SW48, SW49, SW50, SW51, SW52, SW54, SW55, SW56, SW57, SW6, SW61, SW62, SW7, SW8, SW9",CherryMX_Hotswap_1u,51,SW_Push,C41430893
"SW11, SW15, SW5, SW53",CherryMX_Hotswap_1.25u,4,SW_Push,C41430893
"SW2, SW58",CherryMX_Hotswap_1.5u,2,SW_Push,C41430893
SW3,CherryMX_Hotswap_1.75u,1,SW_Push,C41430893
SW36,CherryMX_Hotswap_7u_Rev,1,SW_Push,C41430893
"SW4, SW59",CherryMX_Hotswap_2.25u,2,SW_Push,C41430893
SW60,CherryMX_Hotswap_2.75u,1,SW_Push,C41430893
U1,SOT-23-3,1,XC6206P332MR-G,C5446
U2,LQFP-48_7x7mm_P0.5mm,1,STM32F072CBT6,C81720
U3,SOT-23-6,1,USBLC6-2SC6,C7519
