Designator,Mid X,Mid Y,Rotation,Layer
C1,82.525174,-74.190806,0.0,bottom
C10,78.868158,-89.057304,0.0,bottom
C11,79.46347,-88.089922,0.0,bottom
C12,96.440592,-72.925768,270.0,bottom
C2,81.50076,-79.272248,0.0,bottom
C3,88.244322,-96.349876,180.0,bottom
C4,87.202526,-88.015508,90.0,bottom
C5,88.169908,-88.651718,90.0,bottom
C6,87.608112,-97.317258,180.0,bottom
C7,84.110654,-98.359054,180.0,bottom
C8,82.250304,-98.359054,180.0,bottom
C9,80.430852,-98.359054,0.0,bottom
D1,62.507817,-69.651573,0.0,bottom
D10,105.370353,-126.801621,0.0,bottom
D11,88.701589,-145.851637,0.0,bottom
D12,127.992247,-69.651573,180.0,bottom
D13,118.467239,-88.701589,180.0,bottom
D14,123.229743,-107.751605,180.0,bottom
D15,120.848491,-145.851637,180.0,bottom
D16,138.707881,-69.651573,0.0,bottom
D17,129.182873,-88.701589,0.0,bottom
D18,133.945377,-107.751605,0.0,bottom
D19,124.420369,-126.801621,0.0,bottom
D2,67.270321,-88.701589,0.0,bottom
D20,166.092279,-69.651573,180.0,bottom
D21,156.567271,-88.701589,180.0,bottom
D22,161.329775,-107.751605,180.0,bottom
D23,151.804767,-126.801621,180.0,bottom
D24,176.807913,-69.651573,0.0,bottom
D25,167.282905,-88.701589,0.0,bottom
D26,172.045409,-107.751605,0.0,bottom
D27,162.520401,-126.801621,0.0,bottom
D28,204.192311,-69.651573,180.0,bottom
D29,194.667303,-88.701589,180.0,bottom
D3,69.651573,-101.798475,0.0,bottom
D30,199.429807,-107.751605,180.0,bottom
D31,189.904799,-126.801621,180.0,bottom
D32,214.907945,-69.651573,0.0,bottom
D33,205.382937,-88.701589,0.0,bottom
D34,210.145441,-107.751605,0.0,bottom
D35,200.620433,-126.801621,0.0,bottom
D36,191.095425,-145.851637,0.0,bottom
D37,242.292343,-69.651573,180.0,bottom
D38,232.767335,-88.701589,180.0,bottom
D39,237.529839,-107.751605,180.0,bottom
D4,74.414077,-126.801621,0.0,bottom
D40,228.004831,-126.801621,180.0,bottom
D41,253.007977,-69.651573,0.0,bottom
D42,243.482969,-88.701589,0.0,bottom
D43,248.245473,-107.751605,0.0,bottom
D44,238.720465,-126.801621,0.0,bottom
D45,280.392375,-69.651573,180.0,bottom
D46,270.867367,-88.701589,180.0,bottom
D47,275.629871,-107.751605,180.0,bottom
D48,266.104863,-126.801621,180.0,bottom
D49,291.108009,-69.651573,0.0,bottom
D5,64.889069,-145.851637,0.0,bottom
D50,281.583001,-88.701589,0.0,bottom
D51,286.345505,-107.751605,0.0,bottom
D52,276.820497,-126.801621,0.0,bottom
D53,269.676741,-145.851637,0.0,bottom
D54,318.492407,-69.651573,180.0,bottom
D55,308.967399,-88.701589,180.0,bottom
D56,299.442391,-145.851637,180.0,bottom
D57,329.208041,-69.651573,0.0,bottom
D58,324.445537,-88.701589,0.0,bottom
D59,317.301781,-107.751605,0.0,bottom
D6,89.892201,-69.651533,180.0,bottom
D60,312.539277,-126.801621,0.0,bottom
D61,310.158025,-145.851637,0.0,bottom
